"Gene","logFC","padj","Significant","Regulation","Timepoint"
"LTBR",-0.498303433307843,0.418721292729601,FALSE,"No difference","Baseline"
"ATG12",-0.276990645202991,0.394112724525418,FALSE,"No difference","Baseline"
"MAP3K1",0.395387395652078,0.394112724525418,FALSE,"No difference","Baseline"
"LILRA2",-1.7416869250343,0.394112724525418,FALSE,"No difference","Baseline"
"CD27",-0.365623838844749,0.394112724525418,FALSE,"No difference","Baseline"
"CXCL3",-0.355355934764674,0.396625092464758,FALSE,"No difference","Baseline"
"SKI",-0.253436716784749,0.397495705902331,FALSE,"No difference","Baseline"
"IDO1",0.47692931381415,0.394112724525418,FALSE,"No difference","Baseline"
"CUL9",-0.326936346128964,0.420704138531663,FALSE,"No difference","Baseline"
"ALOX15",-0.745586262540009,0.396625092464758,FALSE,"No difference","Baseline"
"CLEC7A",0.349002776683706,0.395488827882188,FALSE,"No difference","Baseline"
"IRF1",0.297036316845176,0.395216837064704,FALSE,"No difference","Baseline"
"FAS",0.295620568680327,0.396625092464758,FALSE,"No difference","Baseline"
"CD8B",-0.49025712843801,0.397495705902331,FALSE,"No difference","Baseline"
"TRAF5",-0.354870564476364,0.418721292729601,FALSE,"No difference","Baseline"
"HLA-DPA1",0.816001438313718,0.396625092464758,FALSE,"No difference","Baseline"
"GZMK",-0.328440802671597,0.396625092464758,FALSE,"No difference","Baseline"
"CD9",-0.487549393720846,0.396625092464758,FALSE,"No difference","Baseline"
"SRC",-0.605168293312626,0.468555668189028,FALSE,"No difference","Baseline"
"NFIL3",-0.391459365727608,0.418419877099562,FALSE,"No difference","Baseline"
"BAX",-0.259757993016564,0.402741080307266,FALSE,"No difference","Baseline"
"REPS1",-0.262386410930885,0.418721292729601,FALSE,"No difference","Baseline"
"PTAFR",0.42672775395334,0.418721292729601,FALSE,"No difference","Baseline"
"MME",0.484304264500231,0.418721292729601,FALSE,"No difference","Baseline"
"TLR1",0.345519352958126,0.418721292729601,FALSE,"No difference","Baseline"
"POLR2A",0.239839167679872,0.418721292729601,FALSE,"No difference","Baseline"
"TAGAP",0.288720072042397,0.418721292729601,FALSE,"No difference","Baseline"
"ALOX5",0.530489039828827,0.476778588425391,FALSE,"No difference","Baseline"
"NFKB2",-0.255356701929609,0.45486377843878,FALSE,"No difference","Baseline"
"LILRB4",-0.30853931617742,0.502709525685135,FALSE,"No difference","Baseline"
"CCND3",-0.287681202619948,0.418721292729601,FALSE,"No difference","Baseline"
"ITGAL",0.32001362344859,0.418721292729601,FALSE,"No difference","Baseline"
"LILRA1",-0.646820183332593,0.502709525685135,FALSE,"No difference","Baseline"
"ALOX12",-0.387998586553372,0.502709525685135,FALSE,"No difference","Baseline"
"BCAP31",-0.247842334634823,0.440819949688648,FALSE,"No difference","Baseline"
"NT5E",-0.406509612982012,0.502709525685135,FALSE,"No difference","Baseline"
"PTGS1",-0.3399872645421,0.470583618272316,FALSE,"No difference","Baseline"
"ROCK2",-0.228982332960707,0.470583618272316,FALSE,"No difference","Baseline"
"HDAC4",0.284193986964524,0.468555668189028,FALSE,"No difference","Baseline"
"TFRC",-0.618598854202114,0.461117685480845,FALSE,"No difference","Baseline"
"ATG16L1",-0.4338173534789,0.512568442135718,FALSE,"No difference","Baseline"
"GTF3C1",-0.401892387238852,0.502709525685135,FALSE,"No difference","Baseline"
"IL16",0.243023071828931,0.445180870324585,FALSE,"No difference","Baseline"
"PAX5",-0.368834748524649,0.52214813680074,FALSE,"No difference","Baseline"
"IL7",-0.453871451174158,0.473829883817447,FALSE,"No difference","Baseline"
"TP53",-0.270211502506015,0.498018466321104,FALSE,"No difference","Baseline"
"RARRES3",-0.361365150902834,0.466715599154637,FALSE,"No difference","Baseline"
"IL1B",0.272785142869092,0.476778588425391,FALSE,"No difference","Baseline"
"CD74",0.304639377611121,0.502709525685135,FALSE,"No difference","Baseline"
"CTSS",0.306181091912935,0.473829883817447,FALSE,"No difference","Baseline"
"B2M",-0.258057101459862,0.549960532414017,FALSE,"No difference","Baseline"
"TGFBI",0.322189760451565,0.473829883817447,FALSE,"No difference","Baseline"
"NFKBIA",-0.26587010482322,0.470583618272316,FALSE,"No difference","Baseline"
"IKZF1",0.282522757622214,0.470583618272316,FALSE,"No difference","Baseline"
"NFATC3",-0.296863299474701,0.470583618272316,FALSE,"No difference","Baseline"
"TAL1",-0.782692813484809,0.476778588425391,FALSE,"No difference","Baseline"
"TNF",0.291970393917794,0.543303623964854,FALSE,"No difference","Baseline"
"IFITM1",0.218162330186734,0.502709525685135,FALSE,"No difference","Baseline"
"CASP10",0.194537629134803,0.49326901460537,FALSE,"No difference","Baseline"
"IRF7",0.348650803285661,0.502709525685135,FALSE,"No difference","Baseline"
"CCR3",0.659337181235723,0.502709525685135,FALSE,"No difference","Baseline"
"CREB1",0.249217316931615,0.489768101708155,FALSE,"No difference","Baseline"
"BTLA",-0.431025168426368,0.553390249602963,FALSE,"No difference","Baseline"
"ICAM2",-0.190462212239387,0.487486449104001,FALSE,"No difference","Baseline"
"MAPK8",0.33688337566301,0.532322744729897,FALSE,"No difference","Baseline"
"GNLY",0.538453089081904,0.523170864207422,FALSE,"No difference","Baseline"
"ADA",-0.351236061155038,0.561213748876687,FALSE,"No difference","Baseline"
"RAC1",-0.221898754167029,0.502709525685135,FALSE,"No difference","Baseline"
"CXCR4",-0.237081416899315,0.498018466321104,FALSE,"No difference","Baseline"
"MMP9",0.898863241092123,0.502709525685135,FALSE,"No difference","Baseline"
"ITGB1",-0.247679783738423,0.499689757145678,FALSE,"No difference","Baseline"
"GNAQ",-0.280062308694882,0.502709525685135,FALSE,"No difference","Baseline"
"CR1",0.469237995125844,0.543303623964854,FALSE,"No difference","Baseline"
"PSMC2",-0.418215148741881,0.502709525685135,FALSE,"No difference","Baseline"
"KIR3DS1",-0.34824605992903,0.566951173671358,FALSE,"No difference","Baseline"
"IFNGR2",0.279774078878082,0.502709525685135,FALSE,"No difference","Baseline"
"FCER1G",0.245627316636568,0.502709525685135,FALSE,"No difference","Baseline"
"ATG7",0.334906610547553,0.529775379310627,FALSE,"No difference","Baseline"
"CXCR1",-0.377780321419808,0.502709525685135,FALSE,"No difference","Baseline"
"SOCS1",0.347296969152239,0.571745126095216,FALSE,"No difference","Baseline"
"SH2D1A",-0.349668332207596,0.509294375193413,FALSE,"No difference","Baseline"
"IL1R1",0.400074488346928,0.523170864207422,FALSE,"No difference","Baseline"
"TGFBR1",0.22210475854861,0.502709525685135,FALSE,"No difference","Baseline"
"PTPN6",0.242828683500861,0.512568442135718,FALSE,"No difference","Baseline"
"GNB1",-0.179616127003429,0.502709525685135,FALSE,"No difference","Baseline"
"CD40LG",0.204049999348504,0.523170864207422,FALSE,"No difference","Baseline"
"C1QB",0.547881937694959,0.569532693579351,FALSE,"No difference","Baseline"
"C10orf54",0.213905412142235,0.508111888782146,FALSE,"No difference","Baseline"
"PDCD1",-0.384131444427709,0.599224556636953,FALSE,"No difference","Baseline"
"STAT6",0.222416108347119,0.52214813680074,FALSE,"No difference","Baseline"
"BLK",-0.339508995732788,0.599224556636953,FALSE,"No difference","Baseline"
"GP1BB",-0.416208788370737,0.52214813680074,FALSE,"No difference","Baseline"
"SIRPA",0.326789359666064,0.52214813680074,FALSE,"No difference","Baseline"
"MYD88",0.211625703450476,0.524578840103481,FALSE,"No difference","Baseline"
"NLRP3",0.342646821067094,0.596404172122785,FALSE,"No difference","Baseline"
"CD55",-0.650695489777201,0.548610924507778,FALSE,"No difference","Baseline"
"TBK1",-0.21162688307157,0.539216824989396,FALSE,"No difference","Baseline"
"MAFG",-0.238086459729876,0.549960532414017,FALSE,"No difference","Baseline"
"APP",0.271148242319503,0.531229861749397,FALSE,"No difference","Baseline"
"TYROBP",-0.193383297629744,0.53195364933441,FALSE,"No difference","Baseline"
"SELL",0.281709110813738,0.565399057661078,FALSE,"No difference","Baseline"
"LTB",-0.32096945178507,0.538700243652136,FALSE,"No difference","Baseline"
"TAP2",0.254332503336446,0.543303623964854,FALSE,"No difference","Baseline"
"CD97",0.391222415703785,0.531229861749397,FALSE,"No difference","Baseline"
"THBS1",-0.59979790609486,0.531229861749397,FALSE,"No difference","Baseline"
"KLRF1",-0.477614049621875,0.543303623964854,FALSE,"No difference","Baseline"
"CSF3R",0.369039019965481,0.531229861749397,FALSE,"No difference","Baseline"
"CD1A",-0.352270746236631,0.599224556636953,FALSE,"No difference","Baseline"
"IL12RB2",0.417459670568374,0.587654379503901,FALSE,"No difference","Baseline"
