Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
RAG2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
RAPGEF2,36.84,28.37,48.75,33.01,34.79,44.04,42.26,39.01,58.92,25.06,26.81,20,23.56,25.47,26.8,25.24,20,34.85,20,20,22.02,20,20,33.39,25.74,20,20,32.34,20,27.69,31.54,20,20.04,20,20,20,32.87,27.18,40.22,25.54,20,24.61,20,20,20,30.52,31,23.36,20.17,31.35,29,20
RARRES3,223.14,287.22,874.5,453.01,615.23,837.97,325.57,475.19,668.44,233.49,459.54,754.23,241.45,358.32,626.06,376.25,137.84,258.21,569.6,263.93,217.53,188.32,162.04,164.03,234.22,376.65,647.87,200.37,295.72,373.84,616.5,376.27,260.57,304.2,212.68,217.16,289.83,452.98,646.32,949.72,354.53,286.75,252.72,243.98,403.43,401.84,885.1,519.84,316.3,302.51,310.31,304.34
RELA,72.26,83.92,76.18,76.26,83.82,70.46,53.78,60.28,83.56,48.98,37.34,39.55,51.82,80.8,65.39,47.03,45.09,49.11,68.14,38.24,44.04,40.24,20,20,64.35,92.81,82.79,46.4,48.88,51.92,75.99,54.36,31.68,39.14,34.27,37.69,59.76,73.77,70.39,76.63,44.48,43.53,52.84,20,65.62,54.93,75.77,29.2,49.51,50.16,59.45,54.43
RELB,46.75,46.1,53.32,43.25,45.87,50.33,44.18,44.92,68.56,29.61,37.34,35.31,34.16,44.79,23.58,20,20,20,47.18,25.49,24.02,20,20,40.64,36.03,36.69,36.8,29.53,20,24.23,57.35,40.31,27.16,27.96,30.72,34.1,31.37,31.06,43.88,42.88,30.09,20,20,20,20,35.61,60.84,28.04,33.01,20,39.15,20
REPS1,138.84,119.38,166.06,168.45,178.72,147.21,170.95,140.66,149.97,95.67,109.14,122.88,110.71,122.95,106.13,115.86,108.21,95.05,117.06,80.98,87.41,59.55,64.01,82.74,88.8,90.66,90.68,104.75,105.09,87.69,114.7,102.01,83.41,80.52,109.89,87.94,146.41,146.25,210.26,144.15,105.97,103.16,94.2,102.31,126.37,138.35,166.46,130.84,100.85,87.77,111.65,108.87
RHOA,849.36,778.92,618.55,677.23,749.66,577.52,635.77,624.12,495.98,363.33,556.24,435.02,427.55,503.22,495.27,511.61,319.48,310.49,338.96,453.63,370.33,292.94,256.06,357.09,344.9,364.78,396.87,347.3,281.06,370.38,497.5,484.39,418.98,344.46,361.56,332.93,493,517.69,745.05,635.89,718.21,472.25,406.66,409.26,590.56,570.71,670.43,684.55,548.26,526.64,593.07,470.11
RIPK1,133.89,134.74,227,128.62,204.02,159.79,145.98,167.85,102.84,87.7,195.31,145.48,101.29,177.4,152.23,147.98,54.11,85.54,115.32,90.73,80.74,64.38,64.01,47.9,63.06,120.87,123.53,63.27,90.43,109.61,130.47,95.29,67.24,69.34,63.81,65.51,100.09,161.78,202.95,146.88,71.95,88.01,64.33,90.51,109.36,155.65,214.67,116.23,105.43,109.72,117.45,111.34
RIPK2,70.13,75.65,164.54,106.99,124.94,152.24,93.16,108.75,237.81,52.39,80.42,149.72,40.05,93.97,180.1,110.12,37.36,79.21,178.22,43.49,42.7,45.07,52.01,47.9,39.9,101.45,140.61,40.07,20,76.15,117.56,61.08,41.38,52.56,43.72,36.79,79.18,117.77,128.9,117.69,20,52.05,73.52,20,65.62,65.11,110.21,57.82,44.01,75.23,65.25,51.96
RNASEL,55.25,67.37,152.35,72.85,156.57,109.47,70.11,60.28,58.92,33.03,93.82,100.28,34.16,117.68,54.67,53.91,29.63,109.3,97.85,29.24,24.69,37.02,20,31.93,20,119.8,81.48,33.04,20,92.31,60.22,32.37,25.86,26.84,31.9,35.89,37.35,88.01,78.62,43.79,31.4,23.66,20,90.51,55.9,63.07,90.69,26.28,28.42,20,20,20
