Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
CHIT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CHUK,106.97,133.56,109.69,122.93,99.64,103.17,103.72,99.29,102.84,72.89,83.29,63.56,69.49,105.39,77.19,91.77,56.68,31.68,68.14,46.49,56.72,46.68,50.01,68.22,51.48,72.31,74.91,56.24,53.77,58.85,84.59,80.02,65.95,58.16,70.89,72.69,79.18,98.36,132.55,138.67,79.8,68.14,62.03,141.67,87.49,61.04,110.21,82.94,87.1,86.21,91.35,71.75
CIITA,119.72,85.1,175.2,224.23,159.74,113.24,189.2,133.57,37.49,100.23,109.14,84.74,115.43,112.41,91.12,61.94,79.87,53.86,136.28,101.22,110.77,45.07,42.01,97.26,93.95,84.18,126.16,80.85,114.87,155.77,184.95,147.21,115.09,90.59,83.89,97.81,94.12,119.07,163.64,185.2,98.12,87.07,59.73,20,70.48,87.49,145.8,78.27,53.18,72.1,66.7,20
CISH,85.01,104.01,181.3,38.7,82.24,168.6,26.89,65.01,137.12,27.34,89.99,131.35,45.93,57.96,109.35,60.8,20,20,122.31,30.74,20,20,20,20,42.47,50.72,111.7,25.31,20,34.61,94.63,43.98,34.27,29.08,29.54,39.48,20,60.83,86.85,75.72,39.25,25.55,20,20,48.61,33.57,104.47,36.8,40.34,50.16,46.4,20
CLEC4A,144.51,44.91,95.98,97.89,85.4,54.1,142.14,44.92,605.24,121.87,134.99,1024,156.65,233.61,943.37,1289.34,158.45,148.91,557.37,61.48,148.13,131.98,108.02,142.26,124.83,172.68,194.49,256.61,102.65,123.46,156.28,89.18,98.28,53.68,69.71,66.41,155.37,62.12,181.01,117.69,43.17,91.8,107.98,20,221.15,184.13,304.22,78.85,108.18,200.63,107.3,59.38
CLEC4E,149.47,28.37,164.54,88.78,86.99,329.65,145.98,24.82,2039.61,218.68,261.36,2553.64,213.19,258.2,1181.36,2380.23,184.22,316.83,707.63,71.98,165.48,144.86,146.03,130.64,77.22,176.99,155.07,556.11,212.63,137.31,182.08,87.35,106.68,53.68,90.98,97.81,132.96,81.54,233.11,129.55,61.49,93.69,222.86,82.64,179.84,224.82,424.76,147.19,131.11,213.16,140.66,86.6
CLEC5A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CLEC6A,20,20,20,33.01,34.79,28.94,20.17,20,73.91,20,27.76,49.43,20,28.98,61.1,74.56,20,34.85,40.19,20,20,20,40.01,20,20,35.61,40.74,32.34,20,33.46,53.05,21.38,20,25.72,30.72,20,20,20,21.03,33.76,20,20.82,62.03,20,20,29.5,57.4,29.2,20,20,20,51.96
CLEC7A,638.96,421.96,1118.26,689.75,1059.65,1031.74,469.63,361.71,523.83,340.55,1422.66,2341.78,315.66,825.53,1348.6,668.76,265.38,869.69,2175.31,261.68,171.49,231.78,216.05,330.96,177.6,857.99,930.41,267.16,271.28,572.3,847.33,429.42,179.75,121.9,209.14,201.91,397.39,531.92,1399.59,652.31,128.21,228.08,376.79,137.73,233.31,560.54,1067.63,335.85,138.44,239.81,229.11,131.14
CLU,1734.84,1992.8,2108.54,1206.5,1886.81,1891.1,1761.34,2287.27,1309.03,1103.65,1372.88,1375.69,1619.5,2297.44,2582.49,3155.67,1212.23,1869.27,1551.55,2666.29,1237.11,1001.14,850.19,1410.94,1425.94,1791.53,2809.62,2335.51,1143.79,1659.2,1838.02,1928.4,1474.18,775.04,1075.24,1246.45,2586.03,2842.1,2060.53,2590.07,3652.55,2284.57,1975.84,1991.19,1151.95,1571.74,1389.07,2065.92,1633.77,1139.49,1940.18,1306.42
CMA1,104.13,93.38,190.44,86.5,126.53,201.32,74.91,52.01,112.48,43.28,92.87,74.86,35.33,80.8,105.06,75.71,28.34,34.85,96.1,325.41,282.92,70.82,42.01,34.84,55.34,86.34,148.5,61.16,20,41.54,73.12,175.92,236.64,38.03,46.08,27.82,32.87,55.65,87.76,822.91,426.48,96.53,78.11,82.64,82.63,76.3,115.95,457.34,295.22,148.9,89.9,20
CMKLR1,34,62.64,106.65,52.36,61.68,67.94,28.81,46.1,53.56,45.56,62.23,29.66,53,59.72,52.53,34.41,47.66,47.52,62.9,34.49,28.03,48.29,54.01,20,30.89,43.17,65.71,20,80.65,50.77,90.32,42.76,20,30.2,35.45,33.2,62.75,63.42,102.39,120.43,40.55,42.59,73.52,114.12,85.06,55.95,80.36,53.74,49.51,37.62,39.15,74.23
CR1,174.26,107.56,42.66,85.37,50.61,103.17,68.19,34.28,101.77,38.72,22.98,20,67.14,20,21.44,43.59,38.65,20,101.34,37.49,39.37,41.85,42.01,40.64,61.77,26.98,31.54,34.45,51.32,38.08,31.54,25.04,42.67,45.85,100.43,70.89,46.31,33.65,28.34,27.37,52.33,42.59,55.14,20,20,20,20,20,20,20,20,20
CR2,20,20,20,48.94,39.54,36.49,43.22,27.19,34.28,29.61,20,20,20,20,20,20,25.76,20,20,20,20,20,20,20,20,20,27.6,20,20,20,20,20,20,23.49,20,20,20,20,20,20,20,24.61,20,20,20,20,20,20,20,20,20,20
CRADD,53.84,55.55,47.23,46.67,36.38,33.97,44.18,33.1,41.78,22.78,34.47,53.67,25.91,28.98,42.88,37.85,20,20,62.9,28.49,29.36,20,42.01,20,33.46,48.57,57.82,28.12,51.32,36.92,44.45,32.37,25.22,23.49,25.99,22.43,35.85,29.77,54.85,46.53,49.71,31.23,20,20,48.61,35.61,45.92,35.63,33.01,20,20,20
CREB1,514.29,429.06,441.82,554.31,469.72,518.39,407.2,375.89,357.79,253.99,328.38,457.62,274.43,339.87,388.07,331.51,213.85,190.1,260.34,148.46,241.55,159.35,160.04,323.7,213.63,254.7,248.37,156.78,171.08,220.38,232.26,226.01,244.4,172.23,223.32,231.52,324.19,308.02,370.24,250.89,245.95,251.74,232.05,192.82,240.6,268.57,379.99,300.8,209.95,351.09,378.47,264.75
CRP,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CSF1,149.47,249.4,300.13,58.05,82.24,207.61,48.98,63.83,123.19,44.42,129.25,179.38,67.14,123.83,184.39,130.77,36.07,58.61,160.75,45.74,38.7,20,20,33.39,43.76,70.15,90.68,20.39,56.21,94.61,134.77,58.64,48.49,54.8,59.08,40.38,76.19,143.66,194.72,145.06,64.1,72.87,62.03,20,77.77,83.42,208.93,61.33,54.09,53.29,53.65,51.96
CSF1R,904.61,814.38,527.14,413.17,382.74,99.4,730.85,728.15,108.19,108.2,186.69,40.96,223.79,295.08,91.12,24.09,133.98,156.83,279.56,243.69,90.08,83.7,74.02,87.1,104.24,222.32,231.29,51.32,95.32,280.38,408.61,386.66,120.26,68.22,160.7,104.1,176.29,284.73,584.15,335.73,272.11,165.62,117.17,125.93,170.12,204.48,244.52,83.52,105.43,125.39,107.3,103.92
CSF2,20,20,20,20,20,20,20,20,25.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CSF2RB,378.99,319.13,482.95,249.27,441.26,338.46,212.24,94.56,231.38,208.43,308.28,242.93,220.25,284.55,275.51,209.92,190.66,261.38,822.95,132.71,125.45,143.25,114.03,123.39,117.11,372.34,423.15,143.42,188.19,177.69,281.01,110.56,102.8,53.68,140.61,110.38,88.14,126.83,280.65,177.9,187.08,126.82,147.04,20,153.11,153.61,269.78,73.59,129.27,131.66,129.06,56.91
CSF3,20,20,20,23.9,20,20,20,20,20,20,20,20,20,21.96,21.44,20,20,20,20,20,20,20,20,20,25.74,21.58,20,20,20,20,34.41,20,20,20,20,20,20,20,20,20,20,20,20,78.7,20,20.35,20,20,20,20,20,64.33
CSF3R,966.95,387.69,1499.14,910.57,1263.67,2557.96,457.14,182.04,1137.64,712.99,852.07,1932.18,639.56,1088.12,1513.69,1119.57,538.48,815.83,3155.51,236.94,229.54,305.81,316.07,407.9,401.53,1052.25,1457.38,572.28,415.48,557.3,1192.85,389.71,197.85,148.75,330.84,248.57,240.53,291.2,898.63,395.95,158.29,209.15,310.16,133.8,425.3,563.59,1131.92,186.91,238.37,285.26,348.01,188.05
CTLA4,140.97,86.28,117.31,153.66,117.04,176.15,76.83,69.74,214.24,26.2,36.38,70.62,42.4,43.91,73.97,76.86,38.65,39.6,61.15,94.47,54.72,49.9,56.01,59.52,41.18,44.25,82.79,63.98,63.54,28.85,43.01,47.64,23.28,29.08,20,31.41,116.53,82.83,134.38,200.71,108.58,88.01,91.9,110.18,63.19,26.45,53.96,51.98,20,20,40.6,20
CTNNB1,251.48,232.85,234.62,273.17,243.56,223.96,238.18,184.4,206.75,138.95,101.48,114.41,157.83,124.71,140.43,141.09,90.18,79.21,103.09,110.22,110.1,85.31,78.02,129.19,142.85,114.4,159.01,80.15,112.42,98.08,120.43,102.01,137.07,100.66,125.25,113.97,161.35,168.25,195.63,145.97,142.6,134.39,133.25,129.86,162.83,145.47,182.53,137.26,130.19,137.93,181.26,98.97
CTSC,117.59,121.74,170.63,167.32,166.06,261.71,132.53,132.39,411.35,76.31,101.48,155.37,76.56,121.2,149.01,165.18,60.55,88.71,152.01,132.71,85.41,61.16,64.01,56.61,63.06,105.77,111.7,88.58,85.54,79.61,107.53,112.39,80.82,79.41,57.9,52.05,103.08,182.48,213,296.5,75.88,121.14,96.49,149.54,131.23,155.65,219.27,181.07,111.85,115.99,87,116.29
CTSG,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.8,20,20,20,20,20,20,20,49.71,20,20,20,20,20,20,20,25.67,20,20,20
CTSS,5234.98,3400.53,5985.88,3506.82,4131.05,5771.45,2687.15,1700.98,2734.83,1674.27,3884.08,9330.4,1723.15,3422.45,6470.69,7406.82,1361.66,2726.28,4659.88,1607.57,1403.93,1141.17,894.2,1445.78,1398.91,3659.69,3406.24,1794.87,1754.78,3357.64,3449.52,2767.07,1562.11,1119.51,1631.77,1195.3,1600.02,2680.32,4398.06,3839.95,1775.26,1213.27,1144.15,1160.87,1523.78,2665.35,4507.02,2391.84,1234.95,1454.53,1303.6,764.55
CUL9,65.88,47.28,76.18,76.26,64.84,64.17,71.07,63.83,36.42,41,50.74,31.07,37.69,54.45,36.45,35.56,47.66,33.27,52.42,44.99,42.04,20,20,49.35,42.47,28.06,48.62,40.07,63.54,56.54,71.69,56.81,49.14,54.8,33.08,46.66,52.29,49.18,62.16,70.25,35.32,62.46,59.73,20,48.61,45.78,53.96,32.71,35.76,40.75,46.4,20
CX3CL1,20,20,20,20,20,20,20,20,20,20,22.98,20,20,20,20,20,30.92,38.02,20,20,20,20,20,34.84,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,31.35,34.8,20
CX3CR1,1422.44,1829.69,1136.54,627.15,762.31,323.36,943.1,1303.81,198.18,709.57,1092.37,329.09,684.31,1298.9,495.27,105.53,141.71,196.43,193.94,203.2,278.25,262.36,192.04,313.54,163.44,214.77,269.4,61.87,234.62,365.76,408.61,420.25,342.68,343.35,267.04,251.26,652.86,1189.38,1896.9,927.83,1108.06,749.54,491.66,519.44,797.13,875.9,1134.22,797.86,940.66,692.78,687.33,665.58
CXCL1,21.96,20,42.66,20,20,26.42,20,20,20,20,20,20,20,24.59,27.87,24.09,20,41.19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.11,20,20,20,20,20,20,20,20,20,20,20,20,20
CXCL10,112.63,2554.24,6903.04,59.19,1799.82,1226.76,44.18,1712.8,3395.78,20,2403.02,1004.23,31.8,1043.33,1807.42,262.69,20,2507.67,2142.11,80.98,20,20,20,20,20,2693.77,1734.66,23.2,20,2120.74,3882.5,490.5,77.59,33.55,20,29.61,32.87,2106.98,3062.46,495.39,30.09,20,20,20,20,370.3,2872.28,145.44,20,20,20,20
CXCL11,20,48.46,193.49,20,72.75,54.1,25.93,35.46,463.84,20,56.49,31.07,24.73,42.15,50.38,20,20,44.36,62.9,20,20,20,20,20,20,56.12,47.31,20,20,40.38,136.2,28.1,20,23.49,20,20,20,46.59,53.94,35.58,20,20,20,20,20,30.52,125.13,21.03,20,20,20,20
CXCL12,20,24.82,170.63,20,20,37.75,20,36.64,28.92,20,50.74,35.31,20,28.1,31.09,20,20,34.85,20,20,20,20,20,20,20,20,20,20,20,33.46,51.61,34.21,20,20,20,20,20,45.3,53.02,35.58,20,20,20,20,20,20,31,20,20,20,20,20
CXCL13,20,20,20,20,36.38,27.68,20,20,23.57,20,32.55,20,20,22.83,20,20,27.05,34.85,20,20,20,20,20,62.42,20,23.74,20,20,20,20,20,20,20,20,20,20,20,20,20.11,20,20,27.45,20,20,20,21.36,29.85,20,20,32.92,58,20
CXCL2,24.09,20,20,20,20,37.75,20,20,34.28,20,20,20,20,20,20,24.09,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.6,20,20,20,20,20,20,20,20,20,20,20,20,20
CXCL3,89.97,54.37,166.06,110.41,150.25,230.25,109.48,67.38,197.11,78.59,88.08,282.48,77.74,157.2,314.1,342.98,72.14,158.41,214.91,46.49,35.37,54.72,72.02,62.42,70.78,132.75,122.21,76.63,114.87,160.38,120.43,77.58,46.55,67.1,59.08,90.63,98.6,89.3,108.79,81.2,44.48,64.35,80.41,98.38,70.48,89.52,98.73,81.19,48.59,83.07,72.5,59.38
CXCL5,20,20,20,25.04,20,28.94,26.89,20,20,34.17,20,20,20,20,20,20,20,42.77,20,20.99,20,20,20,36.29,20,21.58,20,20,20,20,32.98,20,20,25.72,23.63,20,40.34,20,20,23.72,20,20,64.33,20,51.04,24.42,20,20,20,36.05,40.6,51.96
CXCL6,48.17,47.28,76.18,43.25,69.59,70.46,32.65,33.1,55.7,28.47,20.1,33.9,20,36.89,25.73,30.97,36.07,50.69,48.92,20.99,20,20,20,47.9,20,36.69,45.99,28.12,20,45,34.41,25.65,20,24.6,27.18,20,20,36.24,66.73,20.07,20,21.77,20,20,51.04,44.76,71.18,20,20,20,30.45,20
CXCL9,20,20,20,20,20,20,20,20,48.21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CXCR1,257.85,65.01,409.82,331.22,472.89,757.45,183.43,35.46,537.75,341.69,592.62,1072.02,260.3,608.61,734.33,823.62,307.89,527.51,1132.21,83.23,162.81,138.42,216.05,227.9,163.44,627.04,536.17,450.65,298.17,293.07,401.44,122.17,113.8,104.01,121.7,130.12,219.61,160.48,430.57,113.13,51.02,130.6,280.29,106.25,272.19,375.39,565.96,120.91,189.78,222.57,216.06,123.71
CXCR2,986.07,234.03,961.34,670.41,770.22,1386.56,449.46,100.47,730.57,730.07,1152.68,2142.63,498.22,997.67,1415.06,1424.7,539.77,779.39,1785.68,161.96,293.6,307.42,274.06,397.74,308.87,867.7,959.32,648.91,432.59,426.92,630.83,222.34,171.99,117.43,217.41,190.24,212.14,187.66,550.33,208.01,83.73,198.74,346.92,82.64,422.87,593.09,874.77,266.34,291.55,318.18,407.47,145.98
CXCR3,97.76,85.1,94.46,102.44,82.24,72.98,72.99,54.37,68.56,60.37,24.89,55.08,51.82,57.08,36.45,45.88,36.07,20,41.93,74.98,42.04,40.24,20,20,52.76,61.52,57.82,65.38,70.88,47.31,73.12,80.02,49.79,78.29,47.26,58.33,52.29,36.24,36.57,60.21,66.72,40.69,50.54,20,85.06,48.83,40.18,38.55,43.09,48.59,49.3,20
CXCR4,776.39,411.33,897.35,859.35,1171.94,1306.03,940.22,650.13,1107.64,654.9,527.52,1412.41,544.15,717.51,1506.18,2145.08,440.58,396.03,415.84,332.16,601.87,362.15,298.07,386.12,647.34,767.34,739.86,797.96,532.79,463.84,567.75,473.4,647.86,322.1,462,426.25,663.32,384.38,905.03,467.11,384.62,635.97,705.33,342.36,896.77,713.13,803.6,691.56,848.97,824.45,885.99,534.45
CXCR6,33.29,24.82,20,25.04,20,30.2,35.53,20,78.2,36.45,20,20,20,20,20,20,27.05,20,20,20.99,22.02,20,20,20,20,20,26.28,20,20,32.31,20,29.93,21.98,34.67,23.63,26.02,35.85,28.47,20.11,30.11,43.17,26.5,20,20,51.04,33.57,25.26,43.81,33.01,40.75,43.5,54.43
CYBB,1876.52,1911.25,3347.16,1184.88,1549.93,2029.51,1186.07,1484.66,1764.3,497.73,1168.96,1741.5,508.82,1010.84,1573.72,2272.4,309.18,549.69,1731.51,518.11,539.82,312.25,168.04,341.12,290.85,783.52,1227.4,498.46,347.05,824.99,1946.99,1478.21,618.12,317.62,487.99,385.87,481.05,1092.32,2735.19,2663.97,781.01,457.1,298.67,326.62,369.4,684.65,2020.47,867.95,420.82,506.27,429.22,274.65
CYSLTR1,170.72,131.2,152.35,118.37,140.76,245.35,93.16,85.11,182.11,37.59,73.72,285.31,60.07,118.56,224.05,253.51,38.65,36.43,47.18,45.74,51.38,33.8,42.01,59.52,39.9,79.86,57.82,41.48,48.88,88.84,75.99,65.97,44.61,46.97,63.81,41.28,67.23,73.77,94.16,86.67,65.41,48.27,20,78.7,63.19,61.04,47.07,33.88,38.51,59.56,31.9,20
CYSLTR2,89.26,57.92,47.23,34.15,37.96,26.42,23.05,20,22.5,28.47,20,20,20,30.74,20,20,20,20,38.44,20,20,20,20,29.03,20,20,20,20,20,31.15,40.14,20,20,31.31,27.18,20.64,20,20,20,21.9,20,21.77,20,20,20,20,20,20,20,20,20,20
DAXX,60.92,87.47,80.75,78.54,80.66,71.72,68.19,52.01,64.27,62.64,56.49,50.85,58.89,52.69,45.02,52.77,50.24,45.94,47.18,68.23,41.37,45.07,46.01,31.93,52.76,59.36,61.76,47.1,70.88,57.69,68.82,54.36,45.26,44.74,53.17,49.36,52.29,50.47,74.05,80.28,75.88,58.68,59.73,20,70.48,54.93,57.4,49.06,61.43,53.29,62.35,20
DDIT3,94.22,49.64,175.2,122.93,191.37,157.28,72.03,59.1,118.91,68.34,157.97,296.61,49.47,154.57,168.31,161.74,52.82,172.67,143.27,54.74,33.36,41.85,20,53.71,45.04,119.8,82.79,56.24,58.66,91.15,77.42,54.36,36.85,34.67,25.99,28.72,50.79,77.65,100.56,108.57,54.95,51.1,78.11,20,63.19,91.56,125.13,80.02,74.26,61.13,59.45,54.43
DDX50,6249.38,11117.62,8627.65,6232.83,8220.98,7447.4,7828.09,10045.09,9049.69,12551.37,12806.84,13338.82,5932.68,4371.81,7364.75,10313.57,18925.41,23874.39,10188.14,3210.64,11022.55,23447.96,26045.73,35619.1,9585.2,7433.77,5384.01,4883.34,6283.49,6118.75,3493.97,3641.17,11185.66,13790.86,15212.88,12689.74,17537.53,12019.39,5985.97,3314.45,13163.32,17879.12,26823.18,17035.3,11283.76,12352.14,9452.57,4518.5,17073.91,25429.27,35716.39,23767.98
DDX58,232.35,692.64,2280.7,254.96,1629.01,1321.13,186.31,478.73,543.11,74.03,1610.31,1766.93,90.69,1595.74,1496.53,688.26,46.38,1267.3,1497.38,75.73,40.04,40.24,46.01,49.35,72.07,1959.89,716.2,70.3,78.21,1043.06,940.52,139.88,64.01,60.39,62.62,61.92,77.69,924.07,834.63,245.41,49.71,50.16,52.84,102.31,82.63,882.01,1352.34,164.71,72.43,78.37,52.2,56.91
DEFA1,20,20,33.52,36.42,20,37.75,33.61,35.46,128.55,52.39,61.27,134.18,20,26.35,31.09,65.38,141.71,57.03,38.44,44.24,694.62,180.27,40.01,20,20,20,20,63.98,61.1,20,28.67,20,795.28,20,28.36,20,40.34,20,20,27.37,453.95,166.56,20,20,184.7,131.23,204.34,184.57,349.31,945.13,182.71,101.45
DEFB1,20,20,20,31.87,56.94,49.07,20.17,20,36.42,20,20,20,20,20,20,20,20,50.69,40.19,20,20,20,20,20,20,20,20,37.96,20,23.08,20,20,20,22.37,20,20,20,20,20,42.88,20,20,20,20,20,20,20,20.44,20,20,20,20
DEFB103A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DEFB4A,20,20,20,20,20,20,20,20,35.35,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DOCK9,88.55,99.29,99.03,93.33,55.35,49.07,81.63,98.11,76.06,59.23,48.83,45.2,42.4,53.57,24.66,20,29.63,20,47.18,47.99,42.7,43.46,20,43.55,38.61,41.01,36.8,30.23,20,58.85,57.35,51.92,49.14,42.5,49.63,52.94,43.32,45.3,51.19,40.14,48.4,30.28,45.95,20,20,54.93,70.03,50.23,48.59,51.72,66.7,56.91
DPP4,177.8,126.47,251.38,198.05,205.6,211.38,251.62,209.22,196.03,117.31,95.74,117.23,134.27,155.45,121.14,166.33,109.5,66.53,120.56,121.47,110.77,94.96,90.02,114.68,151.86,150.01,165.58,142.01,153.97,95.77,170.61,171.64,116.38,104.01,95.71,128.32,198.7,151.42,178.26,158.74,78.49,119.24,105.68,125.93,114.22,103.77,152.68,95.21,87.1,119.12,133.41,126.19
DUSP4,42.5,27.19,35.04,52.36,20,30.2,25.93,20,32.14,20,20,20,20,32.49,23.58,20,20,20,20,35.99,24.02,20,20,20,20,20,20,35.86,20,20,20,31.15,20,20,20,20,31.37,20,25.6,47.44,20,20,20,20,20,28.48,33.29,37.38,20,20,20,20
EBI3,20,20,20,20,20,20,20,20,29.99,20,20,20,20,20,20,20,27.05,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.96,20,20,20,28.47,20,20,20,20,20,20,20,20,20,20,20,20,36.25,20
EDNRB,20,20,20,20,20,20,22.09,20,21.42,20,20,20,20,20,20,20,33.49,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
EGR1,138.84,232.85,82.27,40.98,96.48,37.75,24.01,61.47,70.7,77.45,20,20,51.82,20,39.66,22.94,54.11,57.03,75.13,60.73,24.02,20,44.01,71.13,38.61,43.17,43.37,27.42,20,31.15,20,20,20,35.79,41.36,77.17,56.77,190.25,100.56,87.58,20,28.39,48.25,20,48.61,48.83,43.62,20,29.34,53.29,71.05,20
EGR2,39.67,59.1,56.37,28.46,56.94,20,22.09,41.37,31.07,37.59,20,20,40.05,20,36.45,20,50.24,33.27,83.87,46.49,20,20,40.01,55.16,20,20,28.91,20,20,20,20,20,20,24.6,20,42.18,31.37,62.12,48.45,24.63,20,25.55,20,20,20,29.5,22.96,20,20,40.75,40.6,20
EIF2A,238.02,208.03,239.19,324.39,270.45,202.57,266.03,265.96,248.52,191.35,191.48,217.51,151.94,167.74,185.46,198.45,168.76,267.72,192.2,175.45,150.13,170.61,166.04,261.29,169.88,159.73,160.32,151.15,190.63,213.46,213.62,205.85,155.18,162.17,179.6,162.42,295.8,287.32,325.44,355.8,119.05,224.29,218.26,350.23,204.14,218.72,226.15,249.99,182.45,249.21,242.16,202.89
EIF2AK2,267.06,627.63,1403.16,289.11,1187.76,893.34,186.31,656.04,441.34,68.34,919.08,1117.22,93.05,963.41,977.68,674.49,52.82,562.37,833.43,90.73,64.06,59.55,52.01,68.22,54.05,909.8,559.82,89.99,70.88,680.76,616.5,159.43,85.35,67.1,62.62,69.1,94.12,762.29,645.4,235.38,35.32,61.52,82.71,106.25,77.77,628.7,826.55,167.05,68.76,73.67,88.45,61.86
ELK1,38.96,30.73,42.66,37.56,39.54,31.46,53.78,48.46,20,38.72,35.42,28.25,37.69,21.96,21.44,34.41,27.05,20,43.68,34.49,22.69,38.63,20,34.84,20,37.77,34.17,29.53,20,40.38,38.71,37.87,20,31.31,25.99,20,38.84,50.47,35.65,44.7,28.78,31.23,57.44,20,48.61,29.5,28.7,37.38,32.09,36.05,42.05,59.38
ENTPD1,74.38,72.1,47.23,31.87,56.94,46.55,53.78,47.28,35.35,36.45,55.53,33.9,42.4,51.82,31.09,55.06,29.63,49.11,38.44,37.49,26.69,20,20,30.48,33.46,45.33,47.31,29.53,20,51.92,54.48,42.76,24.57,22.37,29.54,20,20,29.77,39.31,39.23,20,20,20,20,48.61,43.74,44.77,25.7,22.92,20,20,20
EOMES,158.68,106.38,134.07,157.07,148.67,76.75,127.73,114.66,102.84,91.12,77.55,38.14,107.18,104.51,92.19,40.15,42.51,36.43,20,63.73,84.08,70.82,50.01,47.9,68.21,33.46,42.05,35.15,63.54,51.92,53.05,73.3,73.06,64.87,67.35,89.74,103.08,102.24,95.07,79.37,62.79,102.21,82.71,78.7,92.35,61.04,68.88,81.19,81.6,87.77,79.75,69.28
ERCC3,206.85,144.2,173.68,150.24,124.94,115.76,153.66,131.21,140.33,89.98,115.84,94.63,71.85,106.27,72.9,48.18,69.56,49.11,61.15,91.48,91.42,65.99,42.01,82.74,83.65,77.7,59.14,62.57,83.1,78.46,113.26,85.52,78.88,90.59,64.99,64.61,100.09,125.54,141.7,143.23,100.73,105.05,89.6,110.18,109.36,128.18,146.94,126.75,112.77,128.53,108.75,76.7
ETS1,1270.14,1290.71,1043.61,1535.44,1328.51,874.46,1310.92,1254.16,911.61,842.83,682.61,413.84,928.12,1052.99,572.46,516.19,471.49,232.87,356.44,610.34,693.96,476.43,350.08,555.96,658.92,601.13,633.41,461.9,562.12,598.84,636.57,748.88,837.31,739.26,807.02,737.64,1078.63,1053.49,1376.74,986.22,855.58,982.35,723.71,775.23,1134.94,1039.69,1113.55,990.61,991.08,945.13,1096.24,759.61
EWSR1,695.64,616.99,729.76,735.28,801.85,710.89,628.09,689.14,551.68,349.66,481.56,574.85,386.32,546.26,483.48,461.13,345.25,524.35,536.4,350.91,342.97,263.97,332.07,419.51,342.33,458.67,462.58,333.24,408.15,499.61,570.62,433.08,372.42,287.43,404.1,390.36,617,636.75,796.24,577.5,503.67,478.87,418.14,362.03,483.62,488.31,607.29,446.24,407.07,451.41,495.92,353.82
F13A1,721.14,535.43,374.78,530.41,572.53,636.66,777.91,626.49,204.6,462.42,287.21,268.36,825.65,586.66,747.19,864.91,430.27,443.56,338.96,318.67,235.54,317.08,284.06,448.54,709.11,684.23,626.84,705.15,872.5,977.29,623.67,618.77,573.51,345.58,759.76,1006.85,1223.55,1079.38,572.27,345.77,586.08,821.46,856.96,846.06,546.81,543.24,283.55,417.62,324.55,396.55,664.13,507.23
FADD,116.18,111.11,89.89,88.78,104.38,128.34,78.75,108.75,76.06,59.23,89.04,74.86,75.38,94.85,76.11,102.09,59.26,60.2,69.89,68.98,72.06,53.12,50.01,60.97,69.5,70.15,67.02,63.27,68.43,72.69,84.59,72.69,77.59,57.04,66.17,39.48,76.19,67.3,117.01,153.27,111.2,78.55,66.63,110.18,82.63,82.4,91.84,84.69,77.93,65.83,47.85,74.23
